q,task_id,entry_point,clean_path,corrupted_path,target_path
q1,HumanEval/39,prime_fib,prompt-clean-q1.txt,prompt-corrupted-q1.txt,target-q1.txt
q2,HumanEval/0,has_close_elements,prompt-clean-q2.txt,prompt-corrupted-q2.txt,target-q2.txt
q3,HumanEval/1,separate_paren_groups,prompt-clean-q3.txt,prompt-corrupted-q3.txt,target-q3.txt
q4,HumanEval/2,truncate_number,prompt-clean-q4.txt,prompt-corrupted-q4.txt,target-q4.txt
q5,HumanEval/3,below_zero,prompt-clean-q5.txt,prompt-corrupted-q5.txt,target-q5.txt
q6,HumanEval/4,mean_absolute_deviation,prompt-clean-q6.txt,prompt-corrupted-q6.txt,target-q6.txt
q7,HumanEval/5,intersperse,prompt-clean-q7.txt,prompt-corrupted-q7.txt,target-q7.txt
q8,HumanEval/6,parse_nested_parens,prompt-clean-q8.txt,prompt-corrupted-q8.txt,target-q8.txt
q9,HumanEval/7,filter_by_substring,prompt-clean-q9.txt,prompt-corrupted-q9.txt,target-q9.txt
q10,HumanEval/8,sum_product,prompt-clean-q10.txt,prompt-corrupted-q10.txt,target-q10.txt
q11,HumanEval/9,rolling_max,prompt-clean-q11.txt,prompt-corrupted-q11.txt,target-q11.txt
q12,HumanEval/10,make_palindrome,prompt-clean-q12.txt,prompt-corrupted-q12.txt,target-q12.txt
q13,HumanEval/11,string_xor,prompt-clean-q13.txt,prompt-corrupted-q13.txt,target-q13.txt
q14,HumanEval/12,longest,prompt-clean-q14.txt,prompt-corrupted-q14.txt,target-q14.txt
q15,HumanEval/13,greatest_common_divisor,prompt-clean-q15.txt,prompt-corrupted-q15.txt,target-q15.txt
q16,HumanEval/14,all_prefixes,prompt-clean-q16.txt,prompt-corrupted-q16.txt,target-q16.txt
q17,HumanEval/15,string_sequence,prompt-clean-q17.txt,prompt-corrupted-q17.txt,target-q17.txt
q18,HumanEval/16,count_distinct_characters,prompt-clean-q18.txt,prompt-corrupted-q18.txt,target-q18.txt
q19,HumanEval/17,parse_music,prompt-clean-q19.txt,prompt-corrupted-q19.txt,target-q19.txt
q20,HumanEval/18,how_many_times,prompt-clean-q20.txt,prompt-corrupted-q20.txt,target-q20.txt
q21,HumanEval/19,sort_numbers,prompt-clean-q21.txt,prompt-corrupted-q21.txt,target-q21.txt
